City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,fortaleza,-3.7227,-38.5247,29.07000000000005,74,75,5.66,BR,1684760513
114,brockville,44.5834,-75.6826,10.800000000000011,64,0,1.79,CA,1684760443
115,obihiro,42.9172,143.2044,9.160000000000025,78,96,5.01,JP,1684760690
116,thunder bay,48.4001,-89.3168,6.990000000000009,61,75,4.63,CA,1684760418
117,najran,17.4924,44.1277,35.360000000000014,18,51,3.05,SA,1684760691
118,kavaratti,10.5669,72.642,29.939999999999998,70,96,4.08,IN,1684760691
119,puerto natales,-51.7236,-72.4875,2.25,64,75,5.66,CL,1684760692
120,vadso,70.0744,29.7487,14.490000000000009,54,0,8.75,NO,1684760692
121,kolondieba,11.0882,-6.8926,35.97000000000003,37,100,0.39,ML,1684760692
122,pervomays'kyy,49.3874,36.2147,18.33000000000004,68,100,2.35,UA,1684760693
123,nema,57.5067,50.5011,20.910000000000025,53,99,2.09,RU,1684760693
124,murghob,38.1702,73.9667,8.580000000000041,38,98,3.53,TJ,1684760693
125,pesaro,43.9036,12.8903,24.370000000000005,70,0,1.79,IT,1684760694
126,nizhnevartovsk,60.9344,76.5531,18.010000000000048,19,0,4.92,RU,1684760694
127,remire-montjoly,4.9167,-52.2667,27.02000000000004,89,75,2.06,GF,1684760694
128,mukalla,14.5425,49.1242,31.03000000000003,66,23,4.45,YE,1684760694
129,greenfield,42.9614,-88.0126,16.640000000000043,65,0,0.45,US,1684760412
130,klyuchi,52.2667,79.1667,22.420000000000016,29,41,3.89,RU,1684760695
131,la'ie,21.6477,-157.9253,23.980000000000018,81,52,3.13,US,1684760695
132,yasnogorsk,54.4803,37.6975,17.0,77,100,3.1,RU,1684760696
133,weno,7.4515,151.8468,27.970000000000027,94,100,3.6,FM,1684760696
134,jianshui,23.6363,102.8264,23.650000000000034,37,0,1.57,CN,1684760696
135,palmer,42.1584,-72.3287,17.650000000000034,66,40,4.63,US,1684760582
136,canutama,-6.5339,-64.3831,26.879999999999995,86,49,1.42,BR,1684760627
137,vila franca do campo,37.7167,-25.4333,20.230000000000018,65,66,2.83,PT,1684760697
138,sao vicente,-23.9631,-46.3919,24.590000000000032,83,0,0.51,BR,1684760516
139,pingxiang,27.6167,113.85,15.110000000000014,93,100,0.67,CN,1684760697
140,mountain home,43.133,-115.6912,13.970000000000027,87,0,2.06,US,1684760698
141,port alfred,-33.5906,26.891,18.430000000000007,56,90,1.34,ZA,1684760698
142,avarua,-21.2078,-159.775,23.03000000000003,64,20,2.57,CK,1684760698
143,bardai,11.65,7.2333,34.69,33,51,2.23,NG,1684760698
144,axim,4.8699,-2.2405,27.640000000000043,79,100,4.41,GH,1684760699
145,sovetskiy,61.3614,63.5842,21.640000000000043,34,27,2.89,RU,1684760699
146,melekeok village,7.4957,134.6367,25.310000000000002,94,75,0.0,PW,1684760699
147,mount isa,-20.7333,139.5,11.870000000000005,40,0,1.03,AU,1684760486
148,san antonio de pale,-1.4014,5.6325,26.220000000000027,74,79,4.17,GQ,1684760700
149,zhumadian,32.9794,114.0294,18.83000000000004,53,94,0.97,CN,1684760700
150,nizhneudinsk,54.9076,99.0276,12.300000000000011,64,99,2.1,RU,1684760701
151,ostersund,63.1792,14.6357,18.25,32,0,4.12,SE,1684760701
152,ariquemes,-9.9133,-63.0408,27.430000000000007,78,94,0.71,BR,1684760702
153,bouznika,33.7894,-7.1597,20.860000000000014,73,40,5.66,MA,1684760703
154,coquimbo,-29.9533,-71.3436,11.850000000000023,82,75,1.54,CL,1684760443
155,sidi akkacha,36.4647,1.3026,27.160000000000025,62,20,8.8,DZ,1684760705
156,baise city,23.8997,106.6133,26.600000000000023,80,10,1.45,CN,1684760423
157,nili,33.7218,66.1302,20.370000000000005,45,100,4.98,AF,1684760707
